    dgrf90 
 10  6371.2 1990.0
   1  0 -29775.      0.
   1  1  -1851.   5411.
   2  0  -2136.      0.
   2  1   3058.  -2278.
   2  2   1693.   -380.
   3  0   1315.      0.
   3  1  -2240.   -287.
   3  2   1246.    293.
   3  3    807.   -348.
   4  0    939.      0.
   4  1    782.    248.
   4  2    324.   -240.
   4  3   -423.     87.
   4  4    142.   -299.
   5  0   -211.      0.
   5  1    353.     47.
   5  2    244.    153.
   5  3   -111.   -154.
   5  4   -166.    -69.
   5  5    -37.     98.
   6  0     61.      0.
   6  1     64.    -16.
   6  2     60.     83.
   6  3   -178.     68.
   6  4      2.    -52.
   6  5     17.      2.
   6  6    -96.     27.
   7  0     77.      0.
   7  1    -64.    -81.
   7  2      4.    -27.
   7  3     28.      1.
   7  4      1.     20.
   7  5      6.     16.
   7  6     10.    -23.
   7  7      0.     -5.
   8  0     22.      0.
   8  1      5.     10.
   8  2     -1.    -20.
   8  3    -11.      7.
   8  4    -12.    -22.
   8  5      4.     12.
   8  6      4.     11.
   8  7      3.    -16.
   8  8     -6.    -11.
   9  0      4.      0.
   9  1     10.    -21.
   9  2      1.     15.
   9  3    -12.     10.
   9  4      9.     -6.
   9  5     -4.     -6.
   9  6     -1.      9.
   9  7      7.      9.
   9  8      2.     -7.
   9  9     -6.      2.
  10  0     -4.      0.
  10  1     -4.      1.
  10  2      2.      0.
  10  3     -5.      3.
  10  4     -2.      6.
  10  5      4.     -4.
  10  6      3.      0.
  10  7      1.     -1.
  10  8      2.      4.
  10  9      3.      0.
  10 10      0.     -6.
