-1 18  30 0.012 5.9375e-2
0  30 50 0.050  3.2184e-2 
1 50 100 1.2 1.0017e-2
2 100 150 0.45 7.125e-3
3 150 200 4.8 1.3375e-2
4 200 250 3.1 1.945e-2
5 256.32  256.32 0.46 2.775e-3
6 284.15 284.15 0.21 1.3768e-1
7 250 300 1.679 2.6467e-2
8 303.31 303.31 0.8 2.5e-2
9 303.78 303.78 6.9 3.3333e-3
10 300 350 0.965 2.245e-2
11 368.07 368.07 0.65 6.5917e-3
12 350 400 0.314 3.6542e-2
13 400 450 0.383 7.4083e-3
14 465.22 465.22 0.290 7.4917e-3
15 450 500 0.285 2.0225e-2
16 500 550 0.452 8.7583e-3
17 554.37 554.37 0.720 3.2667e-3
18 584.33 584.33 1.27 5.1583e-3
19 550 600 0.357 3.6583e-3
20 609.76 609.76 0.53 1.6175e-2
21 629.73 629.73 1.590 3.325e-3
22 600 650 0.342 1.18e-2
23 650 700 0.23 4.2667e-3
24 703.36 703.36 .36 3.0417e-3
25 700 750 0.141 4.75e-3
26 765.15 765.15 0.17 3.85e-3
27 770.41 770.41 0.26 1.2808e-2
28 789.36 789.36 0.702 3.275e-3
29 750 800 0.758 4.7667e-3
30 800 850 1.625 4.8167e-3
31 850 900 3.537 5.675e-3
32 900 950 3.0  4.9833e-3
33 977.02 977.02 4.4 3.9417e-3
34 950 1000 1.475 4.4167e-3
35 1025.72 1025.72 3.5 5.1833e-3
36 1031.91 1031.91 2.1 5.2833e-3
37 1000 1050 2.467 4.375e-3

